connecting
connected with result code0
sensorData {"accelX":-0.848876953125,"accelY":0.0791015625,"accelZ":-0.0009765625,"gyroX":-11.883087158203125,"gyroY":164.93133544921875,"gyroZ":3.073883056640625}
sensorData {"accelX":-0.803466796875,"accelY":0.075927734375,"accelZ":-0.424072265625,"gyroX":-12.90252685546875,"gyroY":176.54205322265625,"gyroZ":0.91827392578125}
sensorData {"accelX":-0.8193359375,"accelY":0.095458984375,"accelZ":-0.700439453125,"gyroX":-15.353851318359375,"gyroY":191.39785766601562,"gyroZ":0.42022705078125}
sensorData {"accelX":-0.517578125,"accelY":0.0625,"accelZ":-0.986083984375,"gyroX":-14.155426025390625,"gyroY":187.53799438476562,"gyroZ":1.066131591796875}
sensorData {"accelX":-0.4287109375,"accelY":0.04541015625,"accelZ":-1.06787109375,"gyroX":-13.4161376953125,"gyroY":174.61990356445312,"gyroZ":0.443572998046875}
sensorData {"accelX":-0.15576171875,"accelY":0.04736328125,"accelZ":-1.1865234375,"gyroX":-11.392822265625,"gyroY":148.50357055664062,"gyroZ":1.579742431640625}
sensorData {"accelX":0.020263671875,"accelY":0.01123046875,"accelZ":-1.228515625,"gyroX":-9.22943115234375,"gyroY":104.23187255859375,"gyroZ":1.54083251953125}
sensorData {"accelX":0.168701171875,"accelY":0.00439453125,"accelZ":-1.143310546875,"gyroX":-4.350128173828125,"gyroY":56.769561767578125,"gyroZ":1.19842529296875}
sensorData {"accelX":0.143310546875,"accelY":0.0078125,"accelZ":-1.033447265625,"gyroX":-1.29180908203125,"gyroY":34.948883056640625,"gyroZ":1.579742431640625}
sensorData {"accelX":0.212646484375,"accelY":0,"accelZ":-1.150390625,"gyroX":2.61474609375,"gyroY":1.112823486328125,"gyroZ":1.424102783203125}
sensorData {"accelX":0.095458984375,"accelY":0.01025390625,"accelZ":-1.2529296875,"gyroX":10.58349609375,"gyroY":-72.76931762695312,"gyroZ":2.202301025390625}
sensorData {"accelX":0.0048828125,"accelY":0.017333984375,"accelZ":-1.33935546875,"gyroX":18.622283935546875,"gyroY":-140.27801513671875,"gyroZ":2.902679443359375}
sensorData {"accelX":-0.155517578125,"accelY":0.037353515625,"accelZ":-1.35595703125,"gyroX":24.240875244140625,"gyroY":-175.11795043945312,"gyroZ":3.089447021484375}
sensorData {"accelX":-0.42724609375,"accelY":0.0966796875,"accelZ":-1.12939453125,"gyroX":27.59490966796875,"gyroY":-220.4791259765625,"gyroZ":1.657562255859375}
sensorData {"accelX":-0.597412109375,"accelY":0.09912109375,"accelZ":-0.787109375,"gyroX":24.91790771484375,"gyroY":-215.76324462890625,"gyroZ":0.66925048828125}
sensorData {"accelX":-0.685302734375,"accelY":0.08935546875,"accelZ":-0.423828125,"gyroX":25.439300537109375,"gyroY":-234.21432495117188,"gyroZ":2.373504638671875}
sensorData {"accelX":-0.6279296875,"accelY":0.094482421875,"accelZ":0.02978515625,"gyroX":24.32647705078125,"gyroY":-221.55303955078125,"gyroZ":5.18280029296875}
sensorData {"accelX":0.01611328125,"accelY":0.3681640625,"accelZ":-0.645263671875,"gyroX":39.586944580078125,"gyroY":-87.3760986328125,"gyroZ":7.027130126953125}
sensorData {"accelX":-0.529541015625,"accelY":0.095703125,"accelZ":0.793212890625,"gyroX":4.879302978515625,"gyroY":21.21368408203125,"gyroZ":7.657470703125}
sensorData {"accelX":-0.60107421875,"accelY":0.08154296875,"accelZ":0.470458984375,"gyroX":-10.03875732421875,"gyroY":137.29751586914062,"gyroZ":5.7586669921875}
sensorData {"accelX":-0.711669921875,"accelY":0.0537109375,"accelZ":0.19677734375,"gyroX":-13.6962890625,"gyroY":163.31268310546875,"gyroZ":2.8326416015625}
sensorData {"accelX":-0.780517578125,"accelY":0.10009765625,"accelZ":-0.26806640625,"gyroX":-15.369415283203125,"gyroY":186.07498168945312,"gyroZ":0.01556396484375}
sensorData {"accelX":-0.840576171875,"accelY":0.16943359375,"accelZ":-0.768310546875,"gyroX":-14.404449462890625,"gyroY":168.09860229492188,"gyroZ":-0.754852294921875}
sensorData {"accelX":-0.694091796875,"accelY":0.09765625,"accelZ":-0.724365234375,"gyroX":-15.003662109375,"gyroY":181.24237060546875,"gyroZ":-1.36962890625}
sensorData {"accelX":-0.510498046875,"accelY":0.049072265625,"accelZ":-0.9443359375,"gyroX":-13.9764404296875,"gyroY":161.54617309570312,"gyroZ":-0.770416259765625}
sensorData {"accelX":-0.31591796875,"accelY":0.05615234375,"accelZ":-1.160888671875,"gyroX":-14.0386962890625,"gyroY":150.29342651367188,"gyroZ":0.848236083984375}
sensorData {"accelX":0.010986328125,"accelY":0.030517578125,"accelZ":-1.276123046875,"gyroX":-8.474578857421875,"gyroY":116.76864624023438,"gyroZ":2.233428955078125}
sensorData {"accelX":0.07080078125,"accelY":0.055908203125,"accelZ":-1.126220703125,"gyroX":-6.186676025390625,"gyroY":79.189453125,"gyroZ":1.50970458984375}
sensorData {"accelX":0.15625,"accelY":0.007568359375,"accelZ":-1.06396484375,"gyroX":-4.925994873046875,"gyroY":59.617767333984375,"gyroZ":1.72760009765625}
sensorData {"accelX":0.18603515625,"accelY":-0.00439453125,"accelZ":-1.10107421875,"gyroX":-0.334625244140625,"gyroY":11.71966552734375,"gyroZ":1.626434326171875}
sensorData {"accelX":0.280517578125,"accelY":0.005859375,"accelZ":-1.025146484375,"gyroX":2.171173095703125,"gyroY":-6.9415283203125,"gyroZ":2.264556884765625}
sensorData {"accelX":0.0693359375,"accelY":0.046142578125,"accelZ":-1.26123046875,"gyroX":12.6068115234375,"gyroY":-95.53939819335938,"gyroZ":3.369598388671875}
sensorData {"accelX":0.003662109375,"accelY":0.03564453125,"accelZ":-1.346435546875,"gyroX":18.5211181640625,"gyroY":-133.92013549804688,"gyroZ":3.774261474609375}
sensorData {"accelX":-0.20703125,"accelY":0.039306640625,"accelZ":-1.345703125,"gyroX":25.8050537109375,"gyroY":-192.50289916992188,"gyroZ":3.618621826171875}
sensorData {"accelX":-0.33642578125,"accelY":0.073486328125,"accelZ":-1.157958984375,"gyroX":28.878936767578125,"gyroY":-226.5802001953125,"gyroZ":3.587493896484375}
sensorData {"accelX":-0.5390625,"accelY":0.0966796875,"accelZ":-0.762939453125,"gyroX":26.00738525390625,"gyroY":-206.09024047851562,"gyroZ":2.86376953125}
sensorData {"accelX":-0.6689453125,"accelY":0.116455078125,"accelZ":-0.39892578125,"gyroX":25.890655517578125,"gyroY":-217.96554565429688,"gyroZ":4.77813720703125}
sensorData {"accelX":-0.60400390625,"accelY":0.115234375,"accelZ":0.020751953125,"gyroX":22.89459228515625,"gyroY":-190.05935668945312,"gyroZ":7.540740966796875}
sensorData {"accelX":-0.44384765625,"accelY":0.037841796875,"accelZ":0.426025390625,"gyroX":19.898529052734375,"gyroY":-121.14212036132812,"gyroZ":9.641876220703125}
sensorData {"accelX":-0.46533203125,"accelY":0.104248046875,"accelZ":0.52587890625,"gyroX":14.809112548828125,"gyroY":-25.0579833984375,"gyroZ":8.529052734375}
sensorData {"accelX":-0.588623046875,"accelY":0.06884765625,"accelZ":0.35693359375,"gyroX":-2.980499267578125,"gyroY":89.63287353515625,"gyroZ":5.346221923828125}
sensorData {"accelX":-0.76953125,"accelY":0.086181640625,"accelZ":0.126708984375,"gyroX":-13.143768310546875,"gyroY":181.84158325195312,"gyroZ":1.470794677734375}
sensorData {"accelX":-0.78955078125,"accelY":0.099853515625,"accelZ":-0.28564453125,"gyroX":-15.98419189453125,"gyroY":197.4444580078125,"gyroZ":-1.252899169921875}
sensorData {"accelX":-0.770263671875,"accelY":0.07177734375,"accelZ":-0.67138671875,"gyroX":-16.256561279296875,"gyroY":201.84906005859375,"gyroZ":-2.015533447265625}
sensorData {"accelX":-0.656494140625,"accelY":0.08837890625,"accelZ":-0.7548828125,"gyroX":-13.657379150390625,"gyroY":172.30087280273438,"gyroZ":-2.793731689453125}
sensorData {"accelX":-0.3896484375,"accelY":0.034912109375,"accelZ":-0.94677734375,"gyroX":-14.637908935546875,"gyroY":178.6431884765625,"gyroZ":-2.140045166015625}
